movieid,title,audienceScore,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,boxOffice,distributor,soundType
enigma_infinite_indiana_jones,Enigma Infinite Indiana Jones,41.0,PG-13,"['Language', 'Intense Destruction and Peril', 'Some Sexual References']",2014-08-08,2014-11-18,89.0,"Action, Mystery & thriller",English,Alicia Hogue,$47.6M,Warner Bros. Pictures,"Datasat, Dolby Digital"
valiant_enchant_magic,Valiant Enchant Magic,,,,,,89.0,Drama,French,Elia Lapalme,,,
whirlwind_emerald,Whirlwind Emerald,,,,,,60.0,Documentary,English,Joseph Brooks,,,
heroic_crystal_legendary,Heroic Crystal Legendary,55.0,,,,2016-11-18,113.0,Action,Chinese,Kenneth Todd,,,
michael_corleone_crown_don_vito_corleone_quench,Michael Corleone Crown Don Vito Corleone Quench,35.0,,,,,99.0,Action,Japanese,Kelley Youree,,,
sapphire_the_james_t._kirk,Sapphire The James T. Kirk,0.0,,,,,87.0,"Crime, Drama, Mystery & thriller",Chinese,Alyssa Lyons,,,
magician_iron_man,Magician Iron Man,84.0,,,,2014-02-25,6.0,"Kids & family, Comedy, Animation",English,George Quimby,,,
han_solo_legend_velvet,Han Solo Legend Velvet,30.0,PG-13,"['Sexual Content', 'Language']",2004-09-08,2005-10-30,102.0,Comedy,English,Sarah Frink,$21.8M,Buena Vista Pictures,"Surround, Dolby SRD, DTS, SDDS"
supreme_silent_hannibal_lecter_epic,Supreme Silent Hannibal Lecter Epic,25.0,,,2013-11-15,2014-02-18,90.0,Comedy,English,Chad Knupp,,,
mystique_myriad_oracle_chronicles,Mystique Myriad Oracle Chronicles,0.0,,,,,96.0,Mystery & thriller,English,Frank Haas,,,
edward_scissorhands_neo,Edward Scissorhands Neo,87.0,,,,,,,,Jamie Jeschke,,,
the_joker_oracle_wolverine_darth_vader,The Joker Oracle Wolverine Darth Vader,27.0,R,"['Gore', 'Disturbing Images and Rituals', 'Language', 'Some Sexual Dialogue', 'Strong Violence']",2004-08-20,2005-03-01,114.0,Horror,English,Ruthie Balderas,$41.8M,Warner Bros. Pictures,"SDDS, Dolby SRD, DTS, Surround"
t-800_secret_dorothy_gale_bruce_wayne,T-800 Secret Dorothy Gale Bruce Wayne,,PG,"['Mild Thematic Elements', 'Rude Humor']",2012-09-28,,83.0,Comedy,Russian,Elsie Delacruz,,20th Century Fox,
luke_skywalker_chronicles_marty_mcfly_legendary,Luke Skywalker Chronicles Marty McFly Legendary,,,,2004-12-09,2016-02-18,40.0,"Documentary, Animation",English,Ernest Jackson,,WGBH Giant-Screen Films,
katniss_everdeen_willy_wonka_michael_corleone_the_bride,Katniss Everdeen Willy Wonka Michael Corleone The Bride,,,,,,,"Action, Adventure, Drama",English,Henry Wilson,,,
james_bond_whirlwind_hulk_incredible,James Bond Whirlwind Hulk Incredible,,,,,,66.0,Comedy,Portuguese (Brazil),William Middleton,,,
harry_potter_frodo_baggins_ferris_bueller,Harry Potter Frodo Baggins Ferris Bueller,75.0,,,,2017-05-22,110.0,Comedy,Japanese,Don Logan,,,
enigma_katniss_everdeen_lost_marty_mcfly,Enigma Katniss Everdeen Lost Marty McFly,45.0,,,2012-02-24,2017-03-27,130.0,Romance,Hindi,Betty Robinson,$177.5K,"TIPS Industries Limited, UTV Motion Pictures",
whirlwind_michael_corleone_secret_enchant,Whirlwind Michael Corleone Secret Enchant,58.0,,,,2013-03-12,90.0,Drama,English,John Conaway,,,
scarlett_o'hara_the_katniss_everdeen,Scarlett O'Hara The Katniss Everdeen,,,,,,97.0,Documentary,German,Peter Tarin,,,
velvet_hermione_granger_valley,Velvet Hermione Granger Valley,,,,,,79.0,"Musical, Romance",English,Corey Robles,,,
illusion_don_vito_corleone_don_vito_corleone,Illusion Don Vito Corleone Don Vito Corleone,46.0,,,,2011-12-20,105.0,"Comedy, Romance",French (France),Marion Ford,,,
captain_jack_sparrow_chronicles_myth_superman,Captain Jack Sparrow Chronicles Myth Superman,82.0,,,,,,,,Chana Dowdell,,,
frodo_baggins_dream_myriad,Frodo Baggins Dream Myriad,58.0,,,,2017-10-30,90.0,"Action, Drama",Spanish,Lisa Robert,,,
neo_mr._miyagi_tony_montana_sherlock_holmes,Neo Mr. Miyagi Tony Montana Sherlock Holmes,70.0,,,1977-10-02,2006-02-07,116.0,Drama,English,Donna Tressler,,20th Century Fox,
dream_quest_neo,Dream Quest Neo,39.0,PG-13,"['Language', 'Horror Images', 'Slime and Gore', 'Violence']",2004-08-12,2014-05-11,100.0,"Sci-fi, Horror, Action",English,Elizabeth Leon,$80.3M,20th Century Fox,"Surround, DTS, Dolby SR"
john_wick_evoke_superman,John Wick Evoke Superman,83.0,,,,,88.0,"Comedy, Drama",English,Robin Vascocu,,,
rick_blaine_james_bond_aurora_mystic,Rick Blaine James Bond Aurora Mystic,,,,,,39.0,"Crime, Drama",English,Charles Estrada,,,
epic_wonder_woman_norman_bates_spectacular,Epic Wonder Woman Norman Bates Spectacular,31.0,,,,2019-12-01,93.0,Romance,English,James Blackburn,,,Stereo
neo_whisper_lara_croft,Neo Whisper Lara Croft,,,,,2018-11-06,78.0,Horror,English,David Southworth,,,
forrest_gump_marty_mcfly_tyler_durden,Forrest Gump Marty McFly Tyler Durden,,,,,2020-05-18,143.0,"Action, Drama, Mystery & thriller",Tamil,Andrew Martin,,,
elegant_iron_man_t-800_oracle,Elegant Iron Man T-800 Oracle,,,,,,,,,Joseph Brooks,,,
vito_corleone_golden_james_t._kirk_indiana_jones,Vito Corleone Golden James T. Kirk Indiana Jones,,,,,,100.0,Documentary,,Maureen Bugg,,,
rocky_balboa_the_joker_vito_corleone_myriad,Rocky Balboa The Joker Vito Corleone Myriad,,,,,,180.0,Drama,Kannada,Jennie Palmer,,,
brave_captain_america_astonish_t-800,Brave Captain America Astonish T-800,,,,2013-04-19,2017-03-11,79.0,Comedy,English,Cynthia Clevenger,,,Stereo
morpheus_ferris_bueller_moonlit_marty_mcfly,Morpheus Ferris Bueller Moonlit Marty McFly,,,,,,,,,Joseph Brooks,,,
captain_america_forrest_gump_pirate_wondrous,Captain America Forrest Gump Pirate Wondrous,,,,,,54.0,Documentary,English,Janice Mayes,,,
hermione_granger_pirate_illusion_eon,Hermione Granger Pirate Illusion Eon,60.0,,,,2022-11-16,108.0,Comedy,Swedish,David Stadler,,,
don_vito_corleone_michael_corleone_stardust_darth_vader,Don Vito Corleone Michael Corleone Stardust Darth Vader,,,,,,60.0,Documentary,English,Mia Snowden,,,
silent_wolverine,Silent Wolverine,,,,,,18.0,Horror,English,Alice Kratochvil,,,
escape_the_bride_magician_john_wick,Escape The Bride Magician John Wick,,,,,2018-06-19,93.0,Drama,English,Donald Sawyer,,,
heroic_wolverine_jack_sparrow,Heroic Wolverine Jack Sparrow,93.0,,,,2005-02-22,80.0,Documentary,Hebrew,Jeff Silva,,,
oracle_fantasy_indiana_jones_gandalf,Oracle Fantasy Indiana Jones Gandalf,,,,,,75.0,Romance,English,Robert Hildreth,,,
harry_potter_edward_scissorhands_rick_blaine,Harry Potter Edward Scissorhands Rick Blaine,,,,,,90.0,Mystery & thriller,English,Cristi Montoya,,,
ethereal_heroic,Ethereal Heroic,87.0,,,,2012-09-10,160.0,Drama,Italian,Eura Leon,,,
hermione_granger_james_t._kirk_trinity_captain_jack_sparrow,Hermione Granger James T. Kirk Trinity Captain Jack Sparrow,20.0,,,,2017-04-21,84.0,Comedy,English,Kathleen Ferguson,,,
scarlett_o'hara_james_bond_majestic_witch,Scarlett O'Hara James Bond Majestic Witch,85.0,,,,2019-11-14,72.0,"Documentary, War",English,John Meldrum,,,
eclipse_gandalf_intrigue,Eclipse Gandalf Intrigue,91.0,PG-13,"['Some Sexual References', 'Language', 'Brutal Fights']",,2016-08-10,85.0,Action,English,Adriana Pree,,,
spectacular_marvelous_norman_bates_hulk,Spectacular Marvelous Norman Bates Hulk,,,,,,107.0,"Action, Comedy",English,Wendy Cooksey,,,
infinite_v_quest,Infinite V Quest,44.0,,,,,,,,Kandis Moore,,,
moonlit_lara_croft_crown,Moonlit Lara Croft Crown,,,,,,93.0,Comedy,Japanese,Edward Lindsey,,,
neo_jack_sparrow,Neo Jack Sparrow,,,,,2016-09-13,87.0,Biography,English,Christian Marcus,,,
james_bond_princess_leia_john_mcclane,James Bond Princess Leia John McClane,85.0,,,,2017-03-23,12.0,"Fantasy, Horror",English,Nancy Crum,,,
indiana_jones_ellen_ripley_island,Indiana Jones Ellen Ripley Island,84.0,,,2017-08-17,2017-08-18,94.0,Documentary,English,George Caylor,,Gunpowder & Sky,
mystique_epic_vito_corleone_ellen_ripley,Mystique Epic Vito Corleone Ellen Ripley,84.0,,,,,166.0,"Action, Drama, Musical, Romance",Tamil,Jeffrey Huffman,,,
gandalf_jack_sparrow_han_solo_luke_skywalker,Gandalf Jack Sparrow Han Solo Luke Skywalker,51.0,,,,2017-01-16,88.0,"Drama, Mystery & thriller, Lgbtq+",English,Harold Mcghee,,,
iron_man_bruce_wayne_han_solo_hannibal_lecter,Iron Man Bruce Wayne Han Solo Hannibal Lecter,50.0,,,,,89.0,"Fantasy, Horror, Sci-fi, Mystery & thriller",English,Katie Basso,,,
zephyr_hulk_mystic_ellen_ripley,Zephyr Hulk Mystic Ellen Ripley,57.0,,,,2015-06-09,96.0,Documentary,Hebrew,Richard Teller,,,
radiant_enchant_oracle_darth_vader,Radiant Enchant Oracle Darth Vader,,,,,,74.0,Documentary,English,Edward Thrope,,,
valiant_tony_stark_indiana_jones,Valiant Tony Stark Indiana Jones,30.0,TVPG,['V'],,1999-09-24,99.0,Horror,English,Sandra Oliveira,,,
epic_fantasy_rick_blaine,Epic Fantasy Rick Blaine,86.0,,,,,93.0,"Documentary, Comedy",English,Vernon Dabrowski,,,
escape_sorcerer_ferris_bueller_luke_skywalker,Escape Sorcerer Ferris Bueller Luke Skywalker,,,,,,85.0,Action,English,Daniel Coney,,,
mystique_marty_mcfly_travis_bickle,Mystique Marty McFly Travis Bickle,90.0,,,2015-06-10,2016-06-29,92.0,Documentary,English,Chase Drewniak,,Abramorama,
labyrinth_rocky_balboa_myth,Labyrinth Rocky Balboa Myth,59.0,R,"['Nudity', 'Brief Sexuality', 'Some Language']",2013-05-03,2013-09-10,116.0,"Romance, Comedy",Danish,Damian Mason,$1.6M,Sony Pictures Classics,Dolby Digital
infinite_moonlit,Infinite Moonlit,78.0,PG,['Mild Action and Rude Humor'],,2021-06-11,98.0,"Kids & family, Comedy, Adventure, Fantasy, Animation",English,Joseph Cuff,,,"Dolby Atmos, Dolby Digital"
pirate_phantom_epic,Pirate Phantom Epic,39.0,,,,2003-07-08,96.0,Mystery & thriller,English,Sue Douglas,,,
rick_blaine_quench_tony_montana,Rick Blaine Quench Tony Montana,,,,2019-05-07,2020-11-30,90.0,Drama,English,Julie Rosenberg,,Atonement Pictures,
the_bride_lara_croft_chronicles,The Bride Lara Croft Chronicles,62.0,PG,['Mild Rude Humor Throughout'],2017-06-02,2017-09-12,89.0,"Kids & family, Comedy, Adventure, Animation",English,Tisha Varner,$73.9M,20th Century Fox,"DTS, Dolby Digital, Dolby Atmos"
lost_riddle_james_bond_radiant,Lost Riddle James Bond Radiant,66.0,,,,2016-08-25,113.0,"Drama, Romance",Bangla,James Ross,,,
fortune_infinite_sherlock_holmes_whispering,Fortune Infinite Sherlock Holmes Whispering,65.0,,,,,102.0,Documentary,Spanish,Debra Rodriguez,,,
labyrinth_katniss_everdeen_don_vito_corleone,Labyrinth Katniss Everdeen Don Vito Corleone,,,,,,,,,Augusta Daniel,,,
travis_bickle_marvelous_mystique_hannibal_lecter,Travis Bickle Marvelous Mystique Hannibal Lecter,,,,,,,Documentary,English,Thelma Ward,,,
hannibal_lecter_bruce_wayne_hulk,Hannibal Lecter Bruce Wayne Hulk,,,,,2020-03-19,48.0,"Action, Adventure, Fantasy",English,Gladys Knobloch,,,
captain_america_illusion_treasure_fortune,Captain America Illusion Treasure Fortune,88.0,,,2022-09-23,2022-10-11,132.0,Comedy,English,Diana Gutierrez,,MVD Entertainment Group,
courageous_bruce_wayne_katniss_everdeen_rocky_balboa,Courageous Bruce Wayne Katniss Everdeen Rocky Balboa,,,,2022-05-23,,93.0,"Action, Crime, Drama",English,Eric Benbow,,,
enthralling_destiny_quench_luke_skywalker,Enthralling Destiny Quench Luke Skywalker,,,,,,89.0,Drama,,Bruce Fortune,,,
wolverine_rocky_balboa_evoke,Wolverine Rocky Balboa Evoke,0.0,,,,,137.0,Drama,Japanese,John Baquet,,,
michael_corleone_harmony_luke_skywalker_darth_vader,Michael Corleone Harmony Luke Skywalker Darth Vader,,,,,2017-03-20,110.0,Mystery & thriller,,Sammy Martin,,,
enigma_hannibal_lecter_james_bond_eclipse,Enigma Hannibal Lecter James Bond Eclipse,,,,,,87.0,Documentary,English,Angel Hirt,,,
celestial_whirlwind_marty_mcfly_black_widow,Celestial Whirlwind Marty McFly Black Widow,,,,,2017-03-23,110.0,"Crime, Drama, Mystery & thriller",Korean,Charles Laws,,,
black_widow_gandalf_neo_wolverine,Black Widow Gandalf Neo Wolverine,100.0,,,,,,,,Augusta Daniel,,,
luke_skywalker_surreal_jack_sparrow,Luke Skywalker Surreal Jack Sparrow,,,,,2005-08-02,77.0,"Documentary, Music",English,Joseph Brooks,,,
rocky_balboa_crystal_crown,Rocky Balboa Crystal Crown,,,,,,71.0,Western,English,George Chen,,,
enigma_james_t._kirk_dracula_indiana_jones,Enigma James T. Kirk Dracula Indiana Jones,,,,,,90.0,Mystery & thriller,English,Harold Fournier,,,
whimsical_john_mcclane_katniss_everdeen_james_bond,Whimsical John McClane Katniss Everdeen James Bond,33.0,PG-13,"['Sexual Content', 'Violence']",,2011-07-27,104.0,Western,English,Earl Taylor,,,
vivid_eclipse_darth_vader_velvet,Vivid Eclipse Darth Vader Velvet,20.0,,,,2003-05-27,86.0,Mystery & thriller,English,Mark Carroll,,,
the_bride_michael_corleone,The Bride Michael Corleone,,,,,,85.0,Action,English (United Kingdom),Opal Martinez,,,
jack_sparrow_fantasy,Jack Sparrow Fantasy,,,,,2017-06-05,146.0,Comedy,Hindi,Stella Tardiff,,,
gandalf_norman_bates_majestic_moonlit,Gandalf Norman Bates Majestic Moonlit,,,,,,94.0,Drama,Japanese,Joseph Brooks,,,
eclipse_captain_america_infinite_fortune,Eclipse Captain America Infinite Fortune,,,,,,104.0,Drama,Finnish,Robert Wilson,,,
ellis_redding_eclipse_don_vito_corleone,Ellis Redding Eclipse Don Vito Corleone,,,,,,64.0,"Comedy, Horror",English,Ila Knight,,,
velvet_legend,Velvet Legend,70.0,,,2018-06-08,2018-07-24,94.0,Documentary,English,Stephen Hopkins,$21.6K,Gravitas Ventures,
gandalf_the_grey_indiana_jones_james_t._kirk_james_t._kirk,Gandalf the Grey Indiana Jones James T. Kirk James T. Kirk,27.0,,,,2009-11-03,96.0,"Holiday, Drama",English,Nancy Blaydes,,,
fantastic_frodo_baggins_harmony,Fantastic Frodo Baggins Harmony,,,,,,84.0,"Crime, Drama",English,Faye Floyd,,,
wondrous_surreal_captain_jack_sparrow_courageous,Wondrous Surreal Captain Jack Sparrow Courageous,,,,,,90.0,Drama,Italian,Anthony Hong,,,
darth_vader_jack_torrance_norman_bates,Darth Vader Jack Torrance Norman Bates,40.0,,,,,97.0,Drama,English,Ashley Doyle,,,
the_terminator_james_t._kirk,The Terminator James T. Kirk,,,,,,91.0,Sci-fi,English,Gretchen Witt,,,
labyrinth_chronicles_rocky_balboa,Labyrinth Chronicles Rocky Balboa,50.0,,,,2014-03-03,100.0,Drama,English,Bruce Schroeder,,,Stereo
holly_golightly_mythical_john_wick_captain_jack_sparrow,Holly Golightly Mythical John Wick Captain Jack Sparrow,63.0,,,,2018-01-02,89.0,Drama,English,Dana Grijalva,,,
phenomenal_don_vito_corleone_james_bond,Phenomenal Don Vito Corleone James Bond,80.0,,,2017-10-27,2018-02-06,72.0,Documentary,Spanish,Stephen Lewis,$23.8K,Oscilloscope Laboratories,
james_bond_wonder_woman_marty_mcfly,James Bond Wonder Woman Marty McFly,,,,,,136.0,"Action, Adventure, Drama, Romance",Marathi,Cindy Martin,,,
hermione_granger_harry_potter_spectacular_incredible,Hermione Granger Harry Potter Spectacular Incredible,,,,,2017-05-23,73.0,Drama,English,Nancy Robertson,,,
katniss_everdeen_annie_hall_journey_whisper,Katniss Everdeen Annie Hall Journey Whisper,64.0,,,,2021-01-15,99.0,Drama,English,Brenda Robinson,,,
forrest_gump_mystery_chronicles,Forrest Gump Mystery Chronicles,,,,,2020-11-10,90.0,Documentary,English,Christian Mcgee,,,
wolverine_bruce_wayne_neo_epic,Wolverine Bruce Wayne Neo Epic,45.0,,,,2017-11-19,100.0,"Kids & family, Adventure",English,Stephanie Paterniti,,,
golden_hidden_john_mcclane,Golden Hidden John McClane,31.0,,,,2018-03-30,97.0,"Crime, Drama, Action",English,Jesus Gilmore,,,
jason_bourne_gollum_glimmer,Jason Bourne Gollum Glimmer,,,,,,91.0,Documentary,English,Joseph Brooks,,,
voyage_sorcerer_chronicles_journey,Voyage Sorcerer Chronicles Journey,56.0,,,,2016-11-30,150.0,Drama,Hindi,Edward Lara,,,
valley_gollum,Valley Gollum,25.0,,,,2016-11-17,95.0,Drama,English,Mark Bolin,,,
mystic_forrest_gump_hannibal_lecter,Mystic Forrest Gump Hannibal Lecter,,,,,,110.0,"Comedy, Drama",English,Joseph Brooks,,,
magician_stardust_princess_leia,Magician Stardust Princess Leia,,,,,,88.0,"Horror, Comedy",English,Diana Bryant,,,
tyler_durden_enchant_hulk_t-800,Tyler Durden Enchant Hulk T-800,73.0,,,,,91.0,Drama,English,Kyle Trammell,,,
epic_morpheus_lara_croft,Epic Morpheus Lara Croft,44.0,,,2017-04-07,2017-06-13,107.0,"Mystery & thriller, War",English,Ruth Southard,,Well Go USA,
secret_john_wick_gollum_sorcerer,Secret John Wick Gollum Sorcerer,45.0,,,2021-03-30,2021-03-30,95.0,"Crime, Drama, Romance",English,Miriam Buker,,Gravitas Ventures,
dorothy_gale_jack_torrance_crimson,Dorothy Gale Jack Torrance Crimson,,,,1998-03-06,2005-07-26,100.0,"Crime, Drama",English,Alice Marana,$8.6K,Paramount Pictures,
evoke_velvet_valley,Evoke Velvet Valley,,,,,2016-11-18,84.0,"Kids & family, Comedy, Adventure, Fantasy, Animation",German,Jocelyn Borne,,,
riddle_enthralling,Riddle Enthralling,,,,,,140.0,Mystery & thriller,English,Regina Rawls,,,
rick_blaine_lost_enthralling_holly_golightly,Rick Blaine Lost Enthralling Holly Golightly,,,,,,,Documentary,English,Paul Williams,,,
zephyr_wonder_woman_wonder,Zephyr Wonder Woman Wonder,95.0,,,,,175.0,"War, Drama",English,Joseph Brooks,,,
myth_mystery_crimson_terminator,Myth Mystery Crimson Terminator,14.0,,,1949-05-27,2006-03-28,75.0,"Crime, Drama",English,Kenneth Webster,,"Sinister Cinema, Film Classics Inc., Reel Media International [us]",Mono
astonish_james_t._kirk_glorious_darth_vader,Astonish James T. Kirk Glorious Darth Vader,53.0,R,['Some Sexual Content'],2013-08-09,2013-11-12,93.0,"Comedy, Drama",English,Sara Barnett,$205.0K,Magnolia Pictures,
velvet_brave_courageous_astonish,Velvet Brave Courageous Astonish,60.0,,,2022-05-10,2022-05-10,95.0,"War, Action, Drama",Russian,Brenda Caballero,,Epic Pictures,
katniss_everdeen_enigma_sherlock_holmes,Katniss Everdeen Enigma Sherlock Holmes,80.0,,,,2020-04-28,81.0,"Kids & family, Comedy, Adventure, Animation",English,Richard Thor,,,
superman_neo_gandalf,Superman Neo Gandalf,,,,,2019-09-03,64.0,Documentary,,John Mauk,,,
john_mcclane_harry_potter_the_bride,John McClane Harry Potter The Bride,75.0,,,2017-04-14,2017-11-13,99.0,"Documentary, Music",English,Lois Chubbs,$406.3K,Abramorama,
tony_stark_enigma,Tony Stark Enigma,,R,['Violence and Language'],2023-03-31,2023-03-31,88.0,"Sci-fi, Action",English,Kirby Johnson,,Saban Films,
holly_golightly_phantom_trinity,Holly Golightly Phantom Trinity,75.0,,,,2022-06-16,108.0,Documentary,English,Cynthia Gally,,,
han_solo_velvet_epic_james_t._kirk,Han Solo Velvet Epic James T. Kirk,,,,,,112.0,"Adventure, Comedy, Musical",English,Joseph Brooks,,,
magician_the_bride_dorothy_gale,Magician The Bride Dorothy Gale,42.0,,,,,82.0,Horror,Spanish,Austin Whiting,,,
harry_potter_eon,Harry Potter Eon,,,,,,116.0,"Adventure, Action, Anime",Japanese,Curtis Chavez,,,
dazzling_adventure_tyler_durden,Dazzling Adventure Tyler Durden,89.0,,,,,97.0,Drama,English,Lupe Overall,,,
princess_leia_starlight_v,Princess Leia Starlight V,36.0,,,,2009-09-08,97.0,Mystery & thriller,English,Sandra Oliveira,,,
ferris_bueller_voyage_anakin_skywalker,Ferris Bueller Voyage Anakin Skywalker,,,,,,97.0,"Comedy, Drama",English,Lena Arreola,,,
travis_bickle_glimmer_luke_skywalker_courageous,Travis Bickle Glimmer Luke Skywalker Courageous,28.0,,,,2020-03-11,92.0,Adventure,English,Daniel Hampton,,,
indiana_jones_norman_bates_ferris_bueller_the_bride,Indiana Jones Norman Bates Ferris Bueller The Bride,,,,,2021-07-18,90.0,"Mystery & thriller, Drama",English,Karen Santo,,,
tony_stark_chronicles_gandalf_the_grey_jack_sparrow,Tony Stark Chronicles Gandalf the Grey Jack Sparrow,,,,,,93.0,Drama,French (Canada),Joseph Callahan,,,
e.t._marty_mcfly_the_jon_snow,E.T. Marty McFly The Jon Snow,,,,,,,,,Augusta Daniel,,,
ellen_ripley_katniss_everdeen_heroic_epic,Ellen Ripley Katniss Everdeen Heroic Epic,,,,1936-10-24,2020-08-16,57.0,"Western, Action",English,Henry Wolf,,,
labyrinth_t-800_john_mcclane_sherlock_holmes,Labyrinth T-800 John McClane Sherlock Holmes,,TV14,"['L', 'V', 'D']",,,103.0,Drama,English,Lorraine Ross,,,
enchant_courageous_wonder,Enchant Courageous Wonder,46.0,,,1999-05-28,1999-09-07,95.0,"Crime, Drama",English,Albert Wight,,"Sterling Home Entertainment, Winchester Films, Xscapade Pictures Ltd. [gb], Lionsgate Films",Dolby Digital
majestic_black_widow_katniss_everdeen_vivid,Majestic Black Widow Katniss Everdeen Vivid,29.0,,,,2018-02-06,80.0,"Drama, Romance, Lgbtq+",English,Frances Mcgraw,,,
travis_bickle_katniss_everdeen_enigma_rick_blaine,Travis Bickle Katniss Everdeen Enigma Rick Blaine,,,,,,,,,Melvin Myers,,,
hermione_granger_surreal_glimmer_norman_bates,Hermione Granger Surreal Glimmer Norman Bates,10.0,,,,2017-05-23,81.0,Horror,English,Wanda Davis,,,Stereo
fortune_ferris_bueller_sapphire,Fortune Ferris Bueller Sapphire,56.0,R,"['Some Sexual Content', 'Bloody Violence', 'Language Throughout', 'Drug Use']",,2020-04-14,88.0,Mystery & thriller,English,James Stone,,,
hulk_intrigue_princess_leia,Hulk Intrigue Princess Leia,64.0,R,"['Language Throughout', 'Drug Content', 'Sequences of Strong Violence', 'Some Sexual Material']",2017-09-22,2017-09-05,141.0,"Action, Adventure, Comedy",English,Winston Mullins,$100.2M,20th Century Fox,"Dolby Digital, Dolby Atmos"
oracle_quest_quench,Oracle Quest Quench,62.0,,,,2020-03-26,100.0,"History, Drama",Hungarian,Hugo Larson,,,
sherlock_holmes_cosmic_mr._miyagi_don_vito_corleone,Sherlock Holmes Cosmic Mr. Miyagi Don Vito Corleone,79.0,,,1940-08-15,2006-11-21,82.0,Comedy,English,Rosemary Novak,,Paramount Pictures,Mono
james_t._kirk_iron_man_majestic_enigma,James T. Kirk Iron Man Majestic Enigma,,,,,,,,,Dion Richardson,,,
holly_golightly_ethereal_beneath,Holly Golightly Ethereal Beneath,,,,,2009-03-23,103.0,"History, Drama, Lgbtq+",English,Ji Swanson,,,
harry_potter_tony_stark_island_whimsical,Harry Potter Tony Stark Island Whimsical,33.0,,,2000-08-14,2020-09-13,81.0,Comedy,English,Geoffrey Ibanez,$2.2K,Seventh Art Releasing,
courageous_lara_croft,Courageous Lara Croft,,,,,2017-02-24,73.0,Adventure,English,Elvira Minton,,,
the_valley_tony_montana_eclipse,The Valley Tony Montana Eclipse,90.0,,,,2016-10-31,93.0,Horror,,Vada Rosel,,,
eclipse_sapphire_james_t._kirk,Eclipse Sapphire James T. Kirk,38.0,,,,,88.0,Comedy,English,Tanesha Lund,,,
glorious_crystal_sherlock_holmes_ellen_ripley,Glorious Crystal Sherlock Holmes Ellen Ripley,,,,1915-01-19,2016-07-16,52.0,Fantasy,,Christopher Dauzat,,Nonpareil Feature Film Corp.,
enigma_brave_escape_vito_corleone,Enigma Brave Escape Vito Corleone,,,,,,95.0,Mystery & thriller,English,Jorge Hollingsworth,,,
courageous_hulk_mythical_john_wick,Courageous Hulk Mythical John Wick,83.0,,,,2019-05-30,11.0,Drama,English,Jeffrey Queen,,,
valley_gandalf_black_widow,Valley Gandalf Black Widow,,,,,,161.0,Action,Hindi,Joseph Partlow,,,
holly_golightly_epic_heroic_dorothy_gale,Holly Golightly Epic Heroic Dorothy Gale,,,,,,128.0,"History, Drama",German,Brian Murelli,,,
rocky_balboa_infinite_fantasy,Rocky Balboa Infinite Fantasy,69.0,,,,2010-10-05,104.0,"Musical, Comedy",English,Donna Sumney,,,
marty_mcfly_james_t._kirk_donnie_darko,Marty McFly James T. Kirk Donnie Darko,51.0,R,"['Pervasive Drug Content', 'Language']",2008-04-11,2008-06-17,94.0,Documentary,English,Richard Mcginnis,,,
marty_mcfly_glorious,Marty McFly Glorious,42.0,,,,2015-04-28,83.0,"Sci-fi, Action, Adventure",English,Olga Hoogland,,,
riddle_whirlwind_intrigue,Riddle Whirlwind Intrigue,53.0,,,,,110.0,Mystery & thriller,Korean,Jane Mcclain,,,
jack_torrance_indiana_jones_harry_potter_astonish,Jack Torrance Indiana Jones Harry Potter Astonish,66.0,,,1969-10-08,2004-11-16,105.0,Comedy,English,Albert Ducharme,,Columbia Pictures,
enigma_wolverine_ferris_bueller_trinity,Enigma Wolverine Ferris Bueller Trinity,79.0,,,,,,,,Joseph Brooks,,,
the_joker_gandalf_dazzling_frodo_baggins,The Joker Gandalf Dazzling Frodo Baggins,67.0,,,2018-05-11,2018-05-11,108.0,Comedy,English,Adrian Lopez,$10.5K,Cinedigm,
starlight_destiny_rick_blaine,Starlight Destiny Rick Blaine,,,,2021-11-05,,165.0,"Action, Romance",English,Kenneth Spence,,,
escape_luke_skywalker_the_terminator,Escape Luke Skywalker The Terminator,,,,,,90.0,Comedy,French (France),Katherine Haskell,,,
scarlett_o'hara_spectacular_sorcerer_wonder,Scarlett O'Hara Spectacular Sorcerer Wonder,,,,,2017-04-13,52.0,Documentary,English,Maurice Aho,,,
katniss_everdeen_john_wick_tony_stark_tyler_durden,Katniss Everdeen John Wick Tony Stark Tyler Durden,,,,,,94.0,"Adventure, Comedy, Drama",Danish,Robert Osorio,,,
ellen_ripley_edward_scissorhands_vito_corleone_black_widow,Ellen Ripley Edward Scissorhands Vito Corleone Black Widow,100.0,PG,"['Sequences of Intense Action', 'Brief Mild Language', 'Some Scary Images']",,,98.0,"Kids & family, Fantasy, Adventure, Comedy, Animation",English,Robert Ross,,,
mystery_escape_island,Mystery Escape Island,,,,,,8.0,Documentary,English,Janet Mcneil,,,
tony_montana_wonder_woman_quest,Tony Montana Wonder Woman Quest,,,,,2016-11-30,14.0,Drama,English,Millie Shelly,,,
epic_dorothy_gale_bruce_wayne_zephyr,Epic Dorothy Gale Bruce Wayne Zephyr,88.0,,,,,,,,Tiffany Fowler,,,
katniss_everdeen_indiana_jones_incredible,Katniss Everdeen Indiana Jones Incredible,,,,,,90.0,Comedy,Portuguese (Brazil),Charles Gramm,,,
